Text,Field1,Field2
b1t,"First kill in won rounds
16.3%",1.05 (339)
b1t,"First kill in won rounds
16.3%",1.05 (289)
b1t,"First kill in won rounds
16.3%",1.09 (40)
Perfecto,"Total opening kills
1509",
Perfecto,"Total opening deaths
1431",
Perfecto,"Opening kill ratio
1.05",
Perfecto,"Opening kill rating
0.89",
Perfecto,"Team win percent after first kill
74.2%",
Perfecto,"First kill in won rounds
9.0%",Career
Perfecto,"First kill in won rounds
9.0%",0.98 (890)
Perfecto,"First kill in won rounds
9.0%",0.98 (533)
Perfecto,"First kill in won rounds
9.0%",0.99 (357)
Perfecto,"First kill in won rounds
9.0%",1.05 (48)
electroNic,"Total opening kills
4622",
electroNic,"Total opening deaths
4257",
electroNic,"Opening kill ratio
1.09",
electroNic,"Opening kill rating
1.07",
electroNic,"Team win percent after first kill
73.1%",
electroNic,"First kill in won rounds
16.5%",Career
electroNic,"First kill in won rounds
16.5%",1.08 (1486)
electroNic,"First kill in won rounds
16.5%",1.08 (742)
electroNic,"First kill in won rounds
16.5%",1.09 (744)
electroNic,"First kill in won rounds
16.5%",1.10 (92)
sdy,"Total opening kills
3408",
sdy,"Total opening deaths
3214",
sdy,"Opening kill ratio
1.06",
sdy,"Opening kill rating
0.97",
sdy,"Team win percent after first kill
73.8%",
sdy,"First kill in won rounds
12.2%",Career
sdy,"First kill in won rounds
12.2%",1.04 (1488)
sdy,"First kill in won rounds
12.2%",1.05 (1196)
sdy,"First kill in won rounds
12.2%",1.03 (292)
sdy,"First kill in won rounds
12.2%",0.99 (44)
s1mple,"Total opening kills
6573",
s1mple,"Total opening deaths
4099",
s1mple,"Opening kill ratio
1.60",
s1mple,"Opening kill rating
1.24",
s1mple,"Team win percent after first kill
75.0%",
s1mple,"First kill in won rounds
20.6%",Career
s1mple,"First kill in won rounds
20.6%",1.24 (1724)
s1mple,"First kill in won rounds
20.6%",1.24 (843)
s1mple,"First kill in won rounds
20.6%",1.24 (881)
s1mple,"First kill in won rounds
20.6%",1.20 (115)
w0nderful,"Total opening kills
1156",
w0nderful,"Total opening deaths
664",
w0nderful,"Opening kill ratio
1.74",
w0nderful,"Opening kill rating
1.10",
w0nderful,"Team win percent after first kill
74.7%",
w0nderful,"First kill in won rounds
15.5%",Career
w0nderful,"First kill in won rounds
15.5%",1.18 (407)
w0nderful,"First kill in won rounds
15.5%",1.21 (313)
w0nderful,"First kill in won rounds
15.5%",1.11 (94)
w0nderful,"First kill in won rounds
15.5%",1.20 (10)
chopper,"Total opening kills
3271",
chopper,"Total opening deaths
3663",
chopper,"Opening kill ratio
0.89",
chopper,"Opening kill rating
0.96",
chopper,"Team win percent after first kill
70.9%",
chopper,"First kill in won rounds
13.0%",Career
chopper,"First kill in won rounds
13.0%",0.96 (1300)
chopper,"First kill in won rounds
13.0%",0.95 (963)
chopper,"First kill in won rounds
13.0%",0.98 (337)
chopper,"First kill in won rounds
13.0%",0.95 (60)
Patsi,"Total opening kills
2164",
Patsi,"Total opening deaths
2208",
Patsi,"Opening kill ratio
0.98",
Patsi,"Opening kill rating
1.07",
Patsi,"Team win percent after first kill
74.3%",
Patsi,"First kill in won rounds
17.4%",Career
Patsi,"First kill in won rounds
17.4%",1.02 (665)
Patsi,"First kill in won rounds
17.4%",1.03 (506)
Patsi,"First kill in won rounds
17.4%",1.00 (159)
Patsi,"First kill in won rounds
17.4%",1.06 (24)
magixx,"Total opening kills
1999",
magixx,"Total opening deaths
1992",
magixx,"Opening kill ratio
1.00",
magixx,"Opening kill rating
0.97",
magixx,"Team win percent after first kill
75.3%",
magixx,"First kill in won rounds
12.8%",Career
magixx,"First kill in won rounds
12.8%",1.00 (839)
magixx,"First kill in won rounds
12.8%",1.00 (675)
magixx,"First kill in won rounds
12.8%",0.98 (164)
magixx,"First kill in won rounds
12.8%",1.03 (32)
s1ren,"Total opening kills
774",
s1ren,"Total opening deaths
854",
s1ren,"Opening kill ratio
0.91",
s1ren,"Opening kill rating
0.93",
s1ren,"Team win percent after first kill
72.9%",
s1ren,"First kill in won rounds
11.6%",Career
s1ren,"First kill in won rounds
11.6%",0.99 (357)
s1ren,"First kill in won rounds
11.6%",0.98 (236)
s1ren,"First kill in won rounds
11.6%",1.00 (121)
s1ren,"First kill in won rounds
11.6%",0.99 (24)
sh1ro,"Total opening kills
3248",
sh1ro,"Total opening deaths
1667",
sh1ro,"Opening kill ratio
1.95",
sh1ro,"Opening kill rating
1.14",
sh1ro,"Team win percent after first kill
77.1%",
sh1ro,"First kill in won rounds
16.1%",Career
sh1ro,"First kill in won rounds
16.1%",1.22 (1074)
sh1ro,"First kill in won rounds
16.1%",1.23 (790)
sh1ro,"First kill in won rounds
16.1%",1.20 (284)
sh1ro,"First kill in won rounds
16.1%",1.23 (30)
HObbit,"Total opening kills
3928",
HObbit,"Total opening deaths
3723",
HObbit,"Opening kill ratio
1.06",
HObbit,"Opening kill rating
1.03",
HObbit,"Team win percent after first kill
73.0%",
HObbit,"First kill in won rounds
14.8%",Career
HObbit,"First kill in won rounds
14.8%",1.06 (1384)
HObbit,"First kill in won rounds
14.8%",1.07 (838)
HObbit,"First kill in won rounds
14.8%",1.04 (546)
HObbit,"First kill in won rounds
14.8%",1.02 (62)
Ax1Le,"Total opening kills
3334",
Ax1Le,"Total opening deaths
2761",
Ax1Le,"Opening kill ratio
1.21",
Ax1Le,"Opening kill rating
1.06",
Ax1Le,"Team win percent after first kill
76.3%",
Ax1Le,"First kill in won rounds
15.5%",Career
Ax1Le,"First kill in won rounds
15.5%",1.10 (1147)
Ax1Le,"First kill in won rounds
15.5%",1.10 (842)
Ax1Le,"First kill in won rounds
15.5%",1.08 (305)
Ax1Le,"First kill in won rounds
15.5%",0.98 (30)
nafany,"Total opening kills
3494",
nafany,"Total opening deaths
4307",
nafany,"Opening kill ratio
0.81",
nafany,"Opening kill rating
1.02",
nafany,"Team win percent after first kill
76.0%",
nafany,"First kill in won rounds
16.8%",Career
nafany,"First kill in won rounds
16.8%",0.95 (1095)
nafany,"First kill in won rounds
16.8%",0.97 (824)
nafany,"First kill in won rounds
16.8%",0.89 (271)
nafany,"First kill in won rounds
16.8%",0.96 (30)
interz,"Total opening kills
1557",
interz,"Total opening deaths
1655",
interz,"Opening kill ratio
0.94",
interz,"Opening kill rating
0.86",
interz,"Team win percent after first kill
74.6%",
interz,"First kill in won rounds
8.4%",Career
interz,"First kill in won rounds
8.4%",0.94 (964)
interz,"First kill in won rounds
8.4%",0.94 (772)
interz,"First kill in won rounds
8.4%",0.93 (192)
interz,"First kill in won rounds
8.4%",0.88 (30)
roeJ,"Total opening kills
3806",
roeJ,"Total opening deaths
3488",
roeJ,"Opening kill ratio
1.09",
roeJ,"Opening kill rating
1.12",
roeJ,"Team win percent after first kill
72.7%",
roeJ,"First kill in won rounds
18.3%",Career
roeJ,"First kill in won rounds
18.3%",1.05 (1100)
roeJ,"First kill in won rounds
18.3%",1.07 (816)
roeJ,"First kill in won rounds
18.3%",1.00 (284)
roeJ,"First kill in won rounds
18.3%",0.95 (51)
nicoodoz,"Total opening kills
3164",
nicoodoz,"Total opening deaths
1913",
nicoodoz,"Opening kill ratio
1.65",
nicoodoz,"Opening kill rating
1.14",
nicoodoz,"Team win percent after first kill
75.2%",
nicoodoz,"First kill in won rounds
17.2%",Career
nicoodoz,"First kill in won rounds
17.2%",1.08 (1008)
nicoodoz,"First kill in won rounds
17.2%",1.09 (844)
nicoodoz,"First kill in won rounds
17.2%",1.07 (164)
nicoodoz,"First kill in won rounds
17.2%",1.06 (51)
KRIMZ,"Total opening kills
4558",
KRIMZ,"Total opening deaths
4248",
KRIMZ,"Opening kill ratio
1.07",
KRIMZ,"Opening kill rating
0.97",
KRIMZ,"Team win percent after first kill
74.4%",
KRIMZ,"First kill in won rounds
12.4%",Career
KRIMZ,"First kill in won rounds
12.4%",1.05 (1968)
KRIMZ,"First kill in won rounds
12.4%",1.03 (1023)
KRIMZ,"First kill in won rounds
12.4%",1.06 (945)
KRIMZ,"First kill in won rounds
12.4%",1.06 (131)
mezii,"Total opening kills
1694",
mezii,"Total opening deaths
1490",
mezii,"Opening kill ratio
1.14",
mezii,"Opening kill rating
0.98",
mezii,"Team win percent after first kill
72.1%",
mezii,"First kill in won rounds
12.5%",Career
mezii,"First kill in won rounds
12.5%",1.07 (716)
mezii,"First kill in won rounds
12.5%",1.08 (490)
mezii,"First kill in won rounds
12.5%",1.05 (226)
mezii,"First kill in won rounds
12.5%",1.00 (25)
FASHR,"Total opening kills
2755",
FASHR,"Total opening deaths
2822",
FASHR,"Opening kill ratio
0.98",
FASHR,"Opening kill rating
1.03",
FASHR,"Team win percent after first kill
73.0%",
FASHR,"First kill in won rounds
15.5%",Career
FASHR,"First kill in won rounds
15.5%",1.03 (952)
FASHR,"First kill in won rounds
15.5%",1.04 (762)
FASHR,"First kill in won rounds
15.5%",1.00 (190)
FASHR,"First kill in won rounds
15.5%",0.90 (25)
NAF,"Total opening kills
4123",
NAF,"Total opening deaths
3300",
NAF,"Opening kill ratio
1.25",
NAF,"Opening kill rating
0.99",
NAF,"Team win percent after first kill
75.1%",
NAF,"First kill in won rounds
12.6%",Career
NAF,"First kill in won rounds
12.6%",1.08 (1757)
NAF,"First kill in won rounds
12.6%",1.10 (866)
NAF,"First kill in won rounds
12.6%",1.07 (891)
NAF,"First kill in won rounds
12.6%",1.06 (82)
oSee,"Total opening kills
3851",
oSee,"Total opening deaths
2751",
oSee,"Opening kill ratio
1.40",
oSee,"Opening kill rating
1.10",
oSee,"Team win percent after first kill
75.4%",
oSee,"First kill in won rounds
16.2%",Career
oSee,"First kill in won rounds
16.2%",1.10 (1287)
oSee,"First kill in won rounds
16.2%",1.13 (912)
oSee,"First kill in won rounds
16.2%",1.02 (375)
oSee,"First kill in won rounds
16.2%",1.05 (39)
EliGE,"Total opening kills
6141",
EliGE,"Total opening deaths
5771",
EliGE,"Opening kill ratio
1.06",
EliGE,"Opening kill rating
1.11",
EliGE,"Team win percent after first kill
73.6%",
EliGE,"First kill in won rounds
17.8%",Career
EliGE,"First kill in won rounds
17.8%",1.08 (1823)
EliGE,"First kill in won rounds
17.8%",1.10 (899)
EliGE,"First kill in won rounds
17.8%",1.06 (924)
EliGE,"First kill in won rounds
17.8%",1.04 (104)
YEKINDAR,"Total opening kills
5223",
YEKINDAR,"Total opening deaths
5023",
YEKINDAR,"Opening kill ratio
1.04",
YEKINDAR,"Opening kill rating
1.18",
YEKINDAR,"Team win percent after first kill
73.4%",
YEKINDAR,"First kill in won rounds
21.7%",Career
YEKINDAR,"First kill in won rounds
21.7%",1.06 (1287)
YEKINDAR,"First kill in won rounds
21.7%",1.05 (909)
YEKINDAR,"First kill in won rounds
21.7%",1.08 (378)
YEKINDAR,"First kill in won rounds
21.7%",1.04 (58)
nitr0,"Total opening kills
4004",
nitr0,"Total opening deaths
4131",
nitr0,"Opening kill ratio
0.97",
nitr0,"Opening kill rating
0.99",
nitr0,"Team win percent after first kill
74.8%",
nitr0,"First kill in won rounds
14.0%",Career
nitr0,"First kill in won rounds
14.0%",0.98 (1541)
nitr0,"First kill in won rounds
14.0%",1.03 (672)
nitr0,"First kill in won rounds
14.0%",0.94 (869)
nitr0,"First kill in won rounds
14.0%",0.93 (102)
Krimbo,"Total opening kills
1661",
Krimbo,"Total opening deaths
1365",
Krimbo,"Opening kill ratio
1.22",
Krimbo,"Opening kill rating
1.00",
Krimbo,"Team win percent after first kill
72.0%",
Krimbo,"First kill in won rounds
13.1%",Career
Krimbo,"First kill in won rounds
13.1%",1.07 (681)
Krimbo,"First kill in won rounds
13.1%",1.10 (475)
Krimbo,"First kill in won rounds
13.1%",1.02 (206)
Krimbo,"First kill in won rounds
13.1%",0.94 (19)
k1to,"Total opening kills
4454",
k1to,"Total opening deaths
4972",
k1to,"Opening kill ratio
0.90",
k1to,"Opening kill rating
1.01",
k1to,"Team win percent after first kill
73.8%",
k1to,"First kill in won rounds
15.4%",Career
k1to,"First kill in won rounds
15.4%",0.98 (1542)
k1to,"First kill in won rounds
15.4%",0.98 (1225)
k1to,"First kill in won rounds
15.4%",0.98 (317)
k1to,"First kill in won rounds
15.4%",0.98 (22)
syrsoN,"Total opening kills
6870",
syrsoN,"Total opening deaths
4810",
syrsoN,"Opening kill ratio
1.43",
syrsoN,"Opening kill rating
1.20",
syrsoN,"Team win percent after first kill
75.7%",
syrsoN,"First kill in won rounds
20.3%",Career
syrsoN,"First kill in won rounds
20.3%",1.09 (1871)
syrsoN,"First kill in won rounds
20.3%",1.10 (1506)
syrsoN,"First kill in won rounds
20.3%",1.09 (365)
syrsoN,"First kill in won rounds
20.3%",1.11 (28)
s1n,"Total opening kills
1264",
s1n,"Total opening deaths
1271",
s1n,"Opening kill ratio
0.99",
s1n,"Opening kill rating
0.97",
s1n,"Team win percent after first kill
72.8%",
s1n,"First kill in won rounds
12.7%",Career
s1n,"First kill in won rounds
12.7%",1.01 (531)
s1n,"First kill in won rounds
12.7%",1.02 (428)
s1n,"First kill in won rounds
12.7%",0.97 (103)
s1n,"First kill in won rounds
12.7%",0.93 (13)
tabseN,"Total opening kills
7041",
tabseN,"Total opening deaths
7253",
tabseN,"Opening kill ratio
0.97",
tabseN,"Opening kill rating
1.05",
tabseN,"Team win percent after first kill
72.9%",
tabseN,"First kill in won rounds
17.0%",Career
tabseN,"First kill in won rounds
17.0%",1.04 (2252)
tabseN,"First kill in won rounds
17.0%",1.04 (1608)
tabseN,"First kill in won rounds
17.0%",1.05 (644)
tabseN,"First kill in won rounds
17.0%",1.00 (57)
dycha,"Total opening kills
2877",
dycha,"Total opening deaths
2817",
dycha,"Opening kill ratio
1.02",
dycha,"Opening kill rating
1.03",
dycha,"Team win percent after first kill
72.3%",
dycha,"First kill in won rounds
14.7%",Career
dycha,"First kill in won rounds
14.7%",1.06 (1006)
dycha,"First kill in won rounds
14.7%",1.08 (674)
dycha,"First kill in won rounds
14.7%",1.03 (332)
dycha,"First kill in won rounds
14.7%",1.02 (45)
SunPayus,"Total opening kills
1801",
SunPayus,"Total opening deaths
1108",
SunPayus,"Opening kill ratio
1.63",
SunPayus,"Opening kill rating
1.17",
SunPayus,"Team win percent after first kill
73.6%",
SunPayus,"First kill in won rounds
18.4%",Career
SunPayus,"First kill in won rounds
18.4%",1.12 (529)
SunPayus,"First kill in won rounds
18.4%",1.12 (284)
SunPayus,"First kill in won rounds
18.4%",1.11 (245)
SunPayus,"First kill in won rounds
18.4%",1.01 (26)
valde,"Total opening kills
3352",
valde,"Total opening deaths
2711",
valde,"Opening kill ratio
1.24",
valde,"Opening kill rating
1.01",
valde,"Team win percent after first kill
75.3%",
valde,"First kill in won rounds
13.6%",Career
valde,"First kill in won rounds
13.6%",1.08 (1351)
valde,"First kill in won rounds
13.6%",1.08 (845)
valde,"First kill in won rounds
13.6%",1.07 (506)
valde,"First kill in won rounds
13.6%",0.93 (28)
Maden,"Total opening kills
2877",
Maden,"Total opening deaths
2956",
Maden,"Opening kill ratio
0.97",
Maden,"Opening kill rating
1.06",
Maden,"Team win percent after first kill
71.4%",
Maden,"First kill in won rounds
16.8%",Career
Maden,"First kill in won rounds
16.8%",1.01 (897)
Maden,"First kill in won rounds
16.8%",1.03 (588)
Maden,"First kill in won rounds
16.8%",0.98 (309)
Maden,"First kill in won rounds
16.8%",0.94 (35)
Snappi,"Total opening kills
4356",
Snappi,"Total opening deaths
4320",
Snappi,"Opening kill ratio
1.01",
Snappi,"Opening kill rating
0.97",
Snappi,"Team win percent after first kill
75.8%",
Snappi,"First kill in won rounds
13.5%",Career
Snappi,"First kill in won rounds
13.5%",0.95 (1794)
Snappi,"First kill in won rounds
13.5%",0.97 (1123)
Snappi,"First kill in won rounds
13.5%",0.91 (671)
Snappi,"First kill in won rounds
13.5%",0.85 (51)
Zyphon,"Total opening kills
2098",
Zyphon,"Total opening deaths
2048",
Zyphon,"Opening kill ratio
1.02",
Zyphon,"Opening kill rating
1.02",
Zyphon,"Team win percent after first kill
72.4%",
Zyphon,"First kill in won rounds
14.4%",Career
Zyphon,"First kill in won rounds
14.4%",1.02 (763)
Zyphon,"First kill in won rounds
14.4%",1.03 (678)
Zyphon,"First kill in won rounds
14.4%",0.98 (85)
Zyphon,"First kill in won rounds
14.4%",1.05 (32)
refrezh,"Total opening kills
3025",
refrezh,"Total opening deaths
2900",
refrezh,"Opening kill ratio
1.04",
refrezh,"Opening kill rating
0.98",
refrezh,"Team win percent after first kill
72.3%",
refrezh,"First kill in won rounds
12.8%",Career
refrezh,"First kill in won rounds
12.8%",1.02 (1252)
refrezh,"First kill in won rounds
12.8%",1.05 (972)
refrezh,"First kill in won rounds
12.8%",0.95 (280)
refrezh,"First kill in won rounds
12.8%",0.87 (40)
Staehr,"Total opening kills
1644",
Staehr,"Total opening deaths
1614",
Staehr,"Opening kill ratio
1.02",
Staehr,"Opening kill rating
1.05",
Staehr,"Team win percent after first kill
72.1%",
Staehr,"First kill in won rounds
16.1%",Career
Staehr,"First kill in won rounds
16.1%",1.02 (533)
Staehr,"First kill in won rounds
16.1%",1.02 (401)
Staehr,"First kill in won rounds
16.1%",1.02 (132)
Staehr,"First kill in won rounds
16.1%",0.91 (6)
lauNX,"Total opening kills
1482",
lauNX,"Total opening deaths
1557",
lauNX,"Opening kill ratio
0.95",
lauNX,"Opening kill rating
1.00",
lauNX,"Team win percent after first kill
70.1%",
lauNX,"First kill in won rounds
14.2%",Career
lauNX,"First kill in won rounds
14.2%",1.06 (541)
lauNX,"First kill in won rounds
14.2%",1.07 (468)
lauNX,"First kill in won rounds
14.2%",1.01 (73)
lauNX,"First kill in won rounds
14.2%",0.80 (6)
slaxz-,"Total opening kills
4520",
slaxz-,"Total opening deaths
2857",
slaxz-,"Opening kill ratio
1.58",
slaxz-,"Opening kill rating
1.18",
slaxz-,"Team win percent after first kill
73.4%",
slaxz-,"First kill in won rounds
18.6%",Career
slaxz-,"First kill in won rounds
18.6%",1.08 (1291)
slaxz-,"First kill in won rounds
18.6%",1.09 (1161)
slaxz-,"First kill in won rounds
18.6%",1.01 (130)
slaxz-,"First kill in won rounds
18.6%",0.69 (6)
dupreeh,"Total opening kills
6389",
dupreeh,"Total opening deaths
5626",
dupreeh,"Opening kill ratio
1.14",
dupreeh,"Opening kill rating
1.08",
dupreeh,"Team win percent after first kill
75.1%",
