Text,Field1,Field2
Xyp9x,"First kill in won rounds
10.3%",1.00 (1112)
Xyp9x,"First kill in won rounds
10.3%",1.03 (137)
Magisk,"Total opening kills
4306",
Magisk,"Total opening deaths
3963",
Magisk,"Opening kill ratio
1.09",
Magisk,"Opening kill rating
1.02",
Magisk,"Team win percent after first kill
75.8%",
Magisk,"First kill in won rounds
14.2%",Career
Magisk,"First kill in won rounds
14.2%",1.07 (1599)
Magisk,"First kill in won rounds
14.2%",1.08 (774)
Magisk,"First kill in won rounds
14.2%",1.07 (824)
Magisk,"First kill in won rounds
14.2%",1.07 (104)
Bubzkji,"Total opening kills
2330",
Bubzkji,"Total opening deaths
2104",
Bubzkji,"Opening kill ratio
1.11",
Bubzkji,"Opening kill rating
1.04",
Bubzkji,"Team win percent after first kill
73.0%",
Bubzkji,"First kill in won rounds
15.2%",Career
Bubzkji,"First kill in won rounds
15.2%",1.04 (817)
Bubzkji,"First kill in won rounds
15.2%",1.04 (643)
Bubzkji,"First kill in won rounds
15.2%",1.02 (173)
Bubzkji,"First kill in won rounds
15.2%",-
nafany,"Total opening kills
3480",
nafany,"Total opening deaths
4293",
nafany,"Opening kill ratio
0.81",
nafany,"Opening kill rating
1.02",
nafany,"Team win percent after first kill
76.0%",
nafany,"First kill in won rounds
16.8%",Career
nafany,"First kill in won rounds
16.8%",0.95 (1090)
nafany,"First kill in won rounds
16.8%",0.97 (824)
nafany,"First kill in won rounds
16.8%",0.89 (266)
nafany,"First kill in won rounds
16.8%",0.96 (30)
Ax1Le,"Total opening kills
3334",
Ax1Le,"Total opening deaths
2761",
Ax1Le,"Opening kill ratio
1.21",
Ax1Le,"Opening kill rating
1.06",
Ax1Le,"Team win percent after first kill
76.3%",
Ax1Le,"First kill in won rounds
15.5%",Career
Ax1Le,"First kill in won rounds
15.5%",1.10 (1147)
Ax1Le,"First kill in won rounds
15.5%",1.10 (842)
Ax1Le,"First kill in won rounds
15.5%",1.08 (305)
Ax1Le,"First kill in won rounds
15.5%",0.98 (30)
sh1ro,"Total opening kills
3248",
sh1ro,"Total opening deaths
1667",
sh1ro,"Opening kill ratio
1.95",
sh1ro,"Opening kill rating
1.14",
sh1ro,"Team win percent after first kill
77.1%",
sh1ro,"First kill in won rounds
16.1%",Career
sh1ro,"First kill in won rounds
16.1%",1.22 (1074)
sh1ro,"First kill in won rounds
16.1%",1.23 (790)
sh1ro,"First kill in won rounds
16.1%",1.20 (284)
sh1ro,"First kill in won rounds
16.1%",1.23 (30)
HObbit,"Total opening kills
3928",
HObbit,"Total opening deaths
3723",
HObbit,"Opening kill ratio
1.06",
HObbit,"Opening kill rating
1.03",
HObbit,"Team win percent after first kill
73.0%",
HObbit,"First kill in won rounds
14.8%",Career
HObbit,"First kill in won rounds
14.8%",1.06 (1384)
HObbit,"First kill in won rounds
14.8%",1.07 (838)
HObbit,"First kill in won rounds
14.8%",1.04 (546)
HObbit,"First kill in won rounds
14.8%",1.02 (62)
interz,"Total opening kills
1550",
interz,"Total opening deaths
1637",
interz,"Opening kill ratio
0.95",
interz,"Opening kill rating
0.86",
interz,"Team win percent after first kill
74.6%",
interz,"First kill in won rounds
8.4%",Career
interz,"First kill in won rounds
8.4%",0.94 (955)
interz,"First kill in won rounds
8.4%",0.94 (763)
interz,"First kill in won rounds
8.4%",0.93 (192)
interz,"First kill in won rounds
8.4%",0.88 (30)
Jame,"Total opening kills
4278",
Jame,"Total opening deaths
2333",
Jame,"Opening kill ratio
1.83",
Jame,"Opening kill rating
1.15",
Jame,"Team win percent after first kill
75.8%",
Jame,"First kill in won rounds
16.9%",Career
Jame,"First kill in won rounds
16.9%",1.13 (1369)
Jame,"First kill in won rounds
16.9%",1.15 (918)
Jame,"First kill in won rounds
16.9%",1.09 (451)
Jame,"First kill in won rounds
16.9%",1.07 (88)
buster,"Total opening kills
3523",
buster,"Total opening deaths
3264",
buster,"Opening kill ratio
1.08",
buster,"Opening kill rating
1.00",
buster,"Team win percent after first kill
74.5%",
buster,"First kill in won rounds
13.6%",Career
buster,"First kill in won rounds
13.6%",1.03 (1368)
buster,"First kill in won rounds
13.6%",1.04 (980)
buster,"First kill in won rounds
13.6%",0.98 (388)
buster,"First kill in won rounds
13.6%",1.00 (71)
YEKINDAR,"Total opening kills
5223",
YEKINDAR,"Total opening deaths
5023",
YEKINDAR,"Opening kill ratio
1.04",
YEKINDAR,"Opening kill rating
1.18",
YEKINDAR,"Team win percent after first kill
73.4%",
YEKINDAR,"First kill in won rounds
21.7%",Career
YEKINDAR,"First kill in won rounds
21.7%",1.06 (1287)
YEKINDAR,"First kill in won rounds
21.7%",1.05 (909)
YEKINDAR,"First kill in won rounds
21.7%",1.08 (378)
YEKINDAR,"First kill in won rounds
21.7%",1.04 (58)
Qikert,"Total opening kills
3951",
Qikert,"Total opening deaths
3673",
Qikert,"Opening kill ratio
1.08",
Qikert,"Opening kill rating
1.03",
Qikert,"Team win percent after first kill
71.0%",
Qikert,"First kill in won rounds
14.1%",Career
Qikert,"First kill in won rounds
14.1%",1.03 (1415)
Qikert,"First kill in won rounds
14.1%",1.06 (987)
Qikert,"First kill in won rounds
14.1%",0.97 (428)
Qikert,"First kill in won rounds
14.1%",0.95 (88)
SANJI,"Total opening kills
1650",
SANJI,"Total opening deaths
1881",
SANJI,"Opening kill ratio
0.88",
SANJI,"Opening kill rating
0.92",
SANJI,"Team win percent after first kill
70.5%",
SANJI,"First kill in won rounds
11.3%",Career
SANJI,"First kill in won rounds
11.3%",0.92 (741)
SANJI,"First kill in won rounds
11.3%",0.92 (614)
SANJI,"First kill in won rounds
11.3%",0.90 (127)
SANJI,"First kill in won rounds
11.3%",0.92 (21)
TeSeS,"Total opening kills
2934",
TeSeS,"Total opening deaths
2884",
TeSeS,"Opening kill ratio
1.02",
TeSeS,"Opening kill rating
1.02",
TeSeS,"Team win percent after first kill
73.2%",
TeSeS,"First kill in won rounds
14.7%",Career
TeSeS,"First kill in won rounds
14.7%",1.04 (1041)
TeSeS,"First kill in won rounds
14.7%",1.06 (640)
TeSeS,"First kill in won rounds
14.7%",1.00 (401)
TeSeS,"First kill in won rounds
14.7%",0.93 (59)
stavn,"Total opening kills
3913",
stavn,"Total opening deaths
3595",
stavn,"Opening kill ratio
1.09",
stavn,"Opening kill rating
1.06",
stavn,"Team win percent after first kill
73.5%",
stavn,"First kill in won rounds
15.7%",Career
stavn,"First kill in won rounds
15.7%",1.05 (1306)
stavn,"First kill in won rounds
15.7%",1.05 (821)
stavn,"First kill in won rounds
15.7%",1.05 (485)
stavn,"First kill in won rounds
15.7%",1.10 (59)
sjuush,"Total opening kills
2529",
sjuush,"Total opening deaths
2408",
sjuush,"Opening kill ratio
1.05",
sjuush,"Opening kill rating
0.98",
sjuush,"Team win percent after first kill
73.5%",
sjuush,"First kill in won rounds
12.7%",Career
sjuush,"First kill in won rounds
12.7%",1.02 (1034)
sjuush,"First kill in won rounds
12.7%",1.03 (617)
sjuush,"First kill in won rounds
12.7%",1.01 (417)
sjuush,"First kill in won rounds
12.7%",0.96 (59)
cadiaN,"Total opening kills
5563",
cadiaN,"Total opening deaths
4214",
cadiaN,"Opening kill ratio
1.32",
cadiaN,"Opening kill rating
1.14",
cadiaN,"Team win percent after first kill
75.3%",
cadiaN,"First kill in won rounds
18.3%",Career
cadiaN,"First kill in won rounds
18.3%",1.04 (1667)
cadiaN,"First kill in won rounds
18.3%",1.06 (1012)
cadiaN,"First kill in won rounds
18.3%",1.03 (655)
cadiaN,"First kill in won rounds
18.3%",1.03 (69)
refrezh,"Total opening kills
3016",
refrezh,"Total opening deaths
2890",
refrezh,"Opening kill ratio
1.04",
refrezh,"Opening kill rating
0.98",
refrezh,"Team win percent after first kill
72.3%",
refrezh,"First kill in won rounds
12.8%",Career
refrezh,"First kill in won rounds
12.8%",1.02 (1245)
refrezh,"First kill in won rounds
12.8%",1.05 (965)
refrezh,"First kill in won rounds
12.8%",0.95 (280)
refrezh,"First kill in won rounds
12.8%",0.87 (40)
k1to,"Total opening kills
4454",
k1to,"Total opening deaths
4972",
k1to,"Opening kill ratio
0.90",
k1to,"Opening kill rating
1.01",
k1to,"Team win percent after first kill
73.8%",
k1to,"First kill in won rounds
15.4%",Career
k1to,"First kill in won rounds
15.4%",0.98 (1542)
k1to,"First kill in won rounds
15.4%",0.98 (1225)
k1to,"First kill in won rounds
15.4%",0.98 (317)
k1to,"First kill in won rounds
15.4%",0.98 (22)
syrsoN,"Total opening kills
6848",
syrsoN,"Total opening deaths
4795",
syrsoN,"Opening kill ratio
1.43",
syrsoN,"Opening kill rating
1.20",
syrsoN,"Team win percent after first kill
75.7%",
syrsoN,"First kill in won rounds
20.3%",Career
syrsoN,"First kill in won rounds
20.3%",1.10 (1863)
syrsoN,"First kill in won rounds
20.3%",1.10 (1498)
syrsoN,"First kill in won rounds
20.3%",1.09 (365)
syrsoN,"First kill in won rounds
20.3%",1.11 (28)
XANTARES,"Total opening kills
7532",
XANTARES,"Total opening deaths
5819",
XANTARES,"Opening kill ratio
1.29",
XANTARES,"Opening kill rating
1.19",
XANTARES,"Team win percent after first kill
74.9%",
XANTARES,"First kill in won rounds
19.8%",Career
XANTARES,"First kill in won rounds
19.8%",1.17 (2027)
XANTARES,"First kill in won rounds
19.8%",1.17 (1605)
XANTARES,"First kill in won rounds
19.8%",1.14 (422)
XANTARES,"First kill in won rounds
19.8%",1.06 (22)
tabseN,"Total opening kills
7006",
tabseN,"Total opening deaths
7222",
tabseN,"Opening kill ratio
0.97",
tabseN,"Opening kill rating
1.05",
tabseN,"Team win percent after first kill
73.0%",
tabseN,"First kill in won rounds
17.0%",Career
tabseN,"First kill in won rounds
17.0%",1.04 (2241)
tabseN,"First kill in won rounds
17.0%",1.04 (1597)
tabseN,"First kill in won rounds
17.0%",1.05 (644)
tabseN,"First kill in won rounds
17.0%",1.00 (57)
tiziaN,"Total opening kills
4522",
tiziaN,"Total opening deaths
4883",
tiziaN,"Opening kill ratio
0.93",
tiziaN,"Opening kill rating
0.96",
tiziaN,"Team win percent after first kill
72.4%",
tiziaN,"First kill in won rounds
12.7%",Career
tiziaN,"First kill in won rounds
12.7%",0.95 (1888)
tiziaN,"First kill in won rounds
12.7%",0.97 (1468)
tiziaN,"First kill in won rounds
12.7%",0.90 (420)
tiziaN,"First kill in won rounds
12.7%",0.83 (34)
KSCERATO,"Total opening kills
2428",
KSCERATO,"Total opening deaths
1708",
KSCERATO,"Opening kill ratio
1.42",
KSCERATO,"Opening kill rating
1.00",
KSCERATO,"Team win percent after first kill
75.6%",
KSCERATO,"First kill in won rounds
12.2%",Career
KSCERATO,"First kill in won rounds
12.2%",1.14 (1071)
KSCERATO,"First kill in won rounds
12.2%",1.15 (694)
KSCERATO,"First kill in won rounds
12.2%",1.14 (377)
KSCERATO,"First kill in won rounds
12.2%",1.13 (49)
yuurih,"Total opening kills
2953",
yuurih,"Total opening deaths
2169",
yuurih,"Opening kill ratio
1.36",
yuurih,"Opening kill rating
1.03",
yuurih,"Team win percent after first kill
76.3%",
yuurih,"First kill in won rounds
13.8%",Career
yuurih,"First kill in won rounds
13.8%",1.11 (1164)
yuurih,"First kill in won rounds
13.8%",1.14 (781)
yuurih,"First kill in won rounds
13.8%",1.05 (383)
yuurih,"First kill in won rounds
13.8%",1.04 (49)
honda,"Total opening kills
434",
honda,"Total opening deaths
456",
honda,"Opening kill ratio
0.95",
honda,"Opening kill rating
0.94",
honda,"Team win percent after first kill
68.9%",
honda,"First kill in won rounds
12.0%",Career
honda,"First kill in won rounds
12.0%",0.93 (192)
honda,"First kill in won rounds
12.0%",0.94 (174)
honda,"First kill in won rounds
12.0%",0.88 (18)
honda,"First kill in won rounds
12.0%",-
VINI,"Total opening kills
2817",
VINI,"Total opening deaths
3013",
VINI,"Opening kill ratio
0.93",
VINI,"Opening kill rating
0.97",
VINI,"Team win percent after first kill
74.4%",
VINI,"First kill in won rounds
12.9%",Career
VINI,"First kill in won rounds
12.9%",0.99 (1154)
VINI,"First kill in won rounds
12.9%",1.00 (834)
VINI,"First kill in won rounds
12.9%",0.96 (320)
VINI,"First kill in won rounds
12.9%",0.95 (41)
arT,"Total opening kills
5112",
arT,"Total opening deaths
5107",
arT,"Opening kill ratio
1.00",
arT,"Opening kill rating
1.24",
arT,"Team win percent after first kill
73.3%",
arT,"First kill in won rounds
23.4%",Career
arT,"First kill in won rounds
23.4%",0.99 (1150)
arT,"First kill in won rounds
23.4%",1.02 (763)
arT,"First kill in won rounds
23.4%",0.95 (387)
arT,"First kill in won rounds
23.4%",0.85 (49)
ZywOo,"Total opening kills
4839",
ZywOo,"Total opening deaths
3010",
ZywOo,"Opening kill ratio
1.61",
ZywOo,"Opening kill rating
1.27",
ZywOo,"Team win percent after first kill
73.3%",
ZywOo,"First kill in won rounds
20.9%",Career
ZywOo,"First kill in won rounds
20.9%",1.27 (1210)
ZywOo,"First kill in won rounds
20.9%",1.28 (636)
ZywOo,"First kill in won rounds
20.9%",1.25 (574)
ZywOo,"First kill in won rounds
20.9%",1.24 (82)
misutaaa,"Total opening kills
1624",
misutaaa,"Total opening deaths
1855",
misutaaa,"Opening kill ratio
0.88",
misutaaa,"Opening kill rating
0.95",
misutaaa,"Team win percent after first kill
72.0%",
misutaaa,"First kill in won rounds
12.7%",Career
misutaaa,"First kill in won rounds
12.7%",0.96 (671)
misutaaa,"First kill in won rounds
12.7%",0.97 (493)
misutaaa,"First kill in won rounds
12.7%",0.95 (178)
misutaaa,"First kill in won rounds
12.7%",0.94 (28)
Kyojin,"Total opening kills
512",
Kyojin,"Total opening deaths
648",
Kyojin,"Opening kill ratio
0.79",
Kyojin,"Opening kill rating
0.87",
Kyojin,"Team win percent after first kill
73.4%",
Kyojin,"First kill in won rounds
10.2%",Career
Kyojin,"First kill in won rounds
10.2%",0.93 (267)
Kyojin,"First kill in won rounds
10.2%",0.97 (185)
Kyojin,"First kill in won rounds
10.2%",0.83 (82)
Kyojin,"First kill in won rounds
10.2%",0.83 (13)
shox,"Total opening kills
6204",
shox,"Total opening deaths
5644",
shox,"Opening kill ratio
1.10",
shox,"Opening kill rating
1.06",
shox,"Team win percent after first kill
74.2%",
shox,"First kill in won rounds
15.9%",Career
shox,"First kill in won rounds
15.9%",1.07 (2077)
shox,"First kill in won rounds
15.9%",1.07 (1128)
shox,"First kill in won rounds
15.9%",1.06 (949)
shox,"First kill in won rounds
15.9%",1.04 (123)
apEX,"Total opening kills
6587",
apEX,"Total opening deaths
7120",
apEX,"Opening kill ratio
0.93",
apEX,"Opening kill rating
1.03",
apEX,"Team win percent after first kill
75.8%",
apEX,"First kill in won rounds
16.2%",Career
apEX,"First kill in won rounds
16.2%",1.00 (2191)
apEX,"First kill in won rounds
16.2%",1.02 (1105)
apEX,"First kill in won rounds
16.2%",0.98 (1086)
apEX,"First kill in won rounds
16.2%",1.00 (140)
hampus,"Total opening kills
4478",
hampus,"Total opening deaths
4873",
hampus,"Opening kill ratio
0.92",
hampus,"Opening kill rating
1.03",
hampus,"Team win percent after first kill
74.2%",
hampus,"First kill in won rounds
16.7%",Career
hampus,"First kill in won rounds
16.7%",1.01 (1457)
hampus,"First kill in won rounds
16.7%",1.02 (1076)
hampus,"First kill in won rounds
16.7%",0.98 (381)
hampus,"First kill in won rounds
16.7%",1.02 (25)
REZ,"Total opening kills
4413",
REZ,"Total opening deaths
4247",
REZ,"Opening kill ratio
1.04",
REZ,"Opening kill rating
1.03",
REZ,"Team win percent after first kill
72.8%",
REZ,"First kill in won rounds
15.3%",Career
REZ,"First kill in won rounds
15.3%",1.03 (1555)
REZ,"First kill in won rounds
15.3%",1.03 (846)
REZ,"First kill in won rounds
15.3%",1.03 (709)
REZ,"First kill in won rounds
15.3%",1.00 (70)
device,"Total opening kills
6849",
device,"Total opening deaths
4771",
device,"Opening kill ratio
1.44",
device,"Opening kill rating
1.18",
device,"Team win percent after first kill
77.9%",
device,"First kill in won rounds
18.9%",Career
device,"First kill in won rounds
18.9%",1.16 (1957)
device,"First kill in won rounds
18.9%",1.16 (1011)
device,"First kill in won rounds
18.9%",1.17 (946)
device,"First kill in won rounds
18.9%",1.16 (127)
Plopski,"Total opening kills
3035",
Plopski,"Total opening deaths
3105",
Plopski,"Opening kill ratio
0.98",
Plopski,"Opening kill rating
0.98",
Plopski,"Team win percent after first kill
71.2%",
Plopski,"First kill in won rounds
13.3%",Career
Plopski,"First kill in won rounds
13.3%",1.01 (1195)
Plopski,"First kill in won rounds
13.3%",1.02 (887)
Plopski,"First kill in won rounds
13.3%",0.97 (308)
Plopski,"First kill in won rounds
13.3%",0.83 (21)
LNZ,"Total opening kills
1054",
LNZ,"Total opening deaths
1223",
LNZ,"Opening kill ratio
0.86",
LNZ,"Opening kill rating
0.90",
LNZ,"Team win percent after first kill
72.9%",
LNZ,"First kill in won rounds
11.2%",Career
LNZ,"First kill in won rounds
11.2%",0.95 (521)
LNZ,"First kill in won rounds
11.2%",0.96 (464)
LNZ,"First kill in won rounds
11.2%",0.87 (57)
LNZ,"First kill in won rounds
11.2%",0.77 (11)
NAF,"Total opening kills
4123",
NAF,"Total opening deaths
3300",
NAF,"Opening kill ratio
1.25",
NAF,"Opening kill rating
0.99",
NAF,"Team win percent after first kill
75.1%",
NAF,"First kill in won rounds
12.6%",Career
NAF,"First kill in won rounds
12.6%",1.08 (1757)
NAF,"First kill in won rounds
12.6%",1.10 (866)
NAF,"First kill in won rounds
12.6%",1.07 (891)
NAF,"First kill in won rounds
12.6%",1.06 (82)
EliGE,"Total opening kills
6141",
EliGE,"Total opening deaths
5771",
EliGE,"Opening kill ratio
1.06",
EliGE,"Opening kill rating
1.11",
EliGE,"Team win percent after first kill
73.6%",
EliGE,"First kill in won rounds
17.8%",Career
EliGE,"First kill in won rounds
17.8%",1.08 (1823)
EliGE,"First kill in won rounds
17.8%",1.10 (899)
EliGE,"First kill in won rounds
17.8%",1.06 (924)
EliGE,"First kill in won rounds
17.8%",1.04 (104)
Grim,"Total opening kills
2952",
Grim,"Total opening deaths
3129",
Grim,"Opening kill ratio
0.94",
Grim,"Opening kill rating
0.99",
Grim,"Team win percent after first kill
72.8%",
Grim,"First kill in won rounds
14.3%",Career
Grim,"First kill in won rounds
14.3%",1.05 (1114)
Grim,"First kill in won rounds
14.3%",1.07 (857)
Grim,"First kill in won rounds
14.3%",0.98 (257)
Grim,"First kill in won rounds
14.3%",0.77 (15)
Stewie2K,"Total opening kills
5219",
Stewie2K,"Total opening deaths
5287",
Stewie2K,"Opening kill ratio
0.99",
Stewie2K,"Opening kill rating
1.10",
Stewie2K,"Team win percent after first kill
74.9%",
Stewie2K,"First kill in won rounds
18.2%",Career
Stewie2K,"First kill in won rounds
18.2%",1.01 (1528)
Stewie2K,"First kill in won rounds
18.2%",1.02 (822)
Stewie2K,"First kill in won rounds
18.2%",0.99 (706)
Stewie2K,"First kill in won rounds
18.2%",0.95 (54)
FalleN,"Total opening kills
5331",
FalleN,"Total opening deaths
3711",
FalleN,"Opening kill ratio
1.44",
FalleN,"Opening kill rating
1.11",
FalleN,"Team win percent after first kill
73.7%",
FalleN,"First kill in won rounds
16.0%",Career
FalleN,"First kill in won rounds
16.0%",1.06 (1748)
FalleN,"First kill in won rounds
16.0%",1.08 (821)
FalleN,"First kill in won rounds
16.0%",1.05 (927)
FalleN,"First kill in won rounds
16.0%",1.00 (109)
degster,"Total opening kills
2932",
degster,"Total opening deaths
1738",
degster,"Opening kill ratio
1.69",
